State,Household_Income
United States,"55,900"
Alabama,"47,624"
Alaska,"69,739"
Arizona,"51,546"
Arkansas,"42,752"
California,"62,477"
Colorado,"62,735"
Connecticut,"70,396"
Delaware,"53,659"
D.C.,"71,490"
Florida,"50,480"
Georgia,"52,726"
Hawaii,"61,648"
Idaho,"52,508"
Illinois,"56,690"
Indiana,"50,575"
Iowa,"58,557"
Kansas,"54,788"
Kentucky,"45,018"
Louisiana,"42,826"
Maine,"53,863"
Maryland,"78,711"
Massachusetts,"69,748"
Michigan,"54,802"
Minnesota,"67,709"
Mississippi,"40,148"
Missouri,"54,527"
Montana,"49,403"
Nebraska,"57,191"
Nevada,"51,863"
New Hampshire,"74,310"
New Jersey,"73,075"
New Mexico,"47,580"
New York,"52,243"
North Carolina,"45,530"
North Dakota,"61,103"
Ohio,"48,622"
Oklahoma,"53,040"
Oregon,"56,730"
Pennsylvania,"56,871"
Rhode Island,"61,431"
South Carolina,"48,650"
South Dakota,"54,144"
Tennessee,"47,110"
Texas,"56,896"
Utah,"63,924"
Vermont,"60,901"
Virginia,"70,818"
Washington,"68,139"
West Virginia,"47,721"
Wisconsin,"58,159"
Wyoming,"63,016"
