State,HCE
United States,"$7,703 "
Alabama,"$6,996 "
Alaska,"$10,428 "
Arizona,"$6,262 "
Arkansas,"$6,929 "
California,"$7,256 "
Colorado,"$6,472 "
Connecticut,"$9,517 "
Delaware,"$9,766 "
District of Columbia,"$11,466 "
Florida,"$7,688 "
Georgia,"$6,249 "
Hawaii,"$6,955 "
Idaho,"$6,593 "
Illinois,"$7,911 "
Indiana,"$7,923 "
Iowa,"$7,806 "
Kansas,"$7,429 "
Kentucky,"$7,543 "
Louisiana,"$7,487 "
Maine,"$9,133 "
Maryland,"$8,250 "
Massachusetts,"$10,273 "
Michigan,"$7,745 "
Minnesota,"$8,465 "
Mississippi,"$7,362 "
Missouri,"$7,860 "
Montana,"$7,994 "
Nebraska,"$8,133 "
Nevada,"$6,275 "
New Hampshire,"$9,369 "
New Jersey,"$8,444 "
New Mexico,"$6,860 "
New York,"$9,351 "
North Carolina,"$7,027 "
North Dakota,"$9,385 "
Ohio,"$8,286 "
Oklahoma,"$7,293 "
Oregon,"$7,467 "
Pennsylvania,"$8,877 "
Rhode Island,"$9,160 "
South Carolina,"$7,020 "
South Dakota,"$8,547 "
Tennessee,"$7,106 "
Texas,"$6,661 "
Utah,"$5,658 "
Vermont,"$9,919 "
Virginia,"$7,306 "
Washington,"$7,609 "
West Virginia,"$8,969 "
Wisconsin,"$8,189 "
Wyoming,"$7,961 "
