"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"2270132","2013","US","All States, DC and Territories (median) **","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","19.0","","","","","53","Overall","Overall","_RFSMOK3","1","1","","","","","",""
"2270133","2013","US","All States, DC and Territories (median) **","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","81.0","","","","","53","Overall","Overall","_RFSMOK3","1","1","","","","","",""
"2269879","2013","UW","All States and DC (median) **","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","19.0","","","","","51","Overall","Overall","_RFSMOK3","2","2","","","","","",""
"2269880","2013","UW","All States and DC (median) **","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","81.0","","","","","51","Overall","Overall","_RFSMOK3","2","2","","","","","",""
"2070641","2013","AL","Alabama","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","21.5","","","19.9","23.0","1102","Overall","Overall","_RFSMOK3","3","3","","","","","",""
"2070642","2013","AL","Alabama","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","78.5","","","77.0","80.1","5281","Overall","Overall","_RFSMOK3","3","3","","","","","",""
"2075114","2013","AK","Alaska","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","22.6","","","20.8","24.4","923","Overall","Overall","_RFSMOK3","4","4","","","","","",""
"2075115","2013","AK","Alaska","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","77.4","","","75.6","79.2","3553","Overall","Overall","_RFSMOK3","4","4","","","","","",""
"2078918","2013","AZ","Arizona","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","16.3","","","14.3","18.3","622","Overall","Overall","_RFSMOK3","5","5","","","","","",""
"2078919","2013","AZ","Arizona","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","83.7","","","81.7","85.7","3489","Overall","Overall","_RFSMOK3","5","5","","","","","",""
"2083220","2013","AR","Arkansas","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","25.9","","","24.1","27.8","1005","Overall","Overall","_RFSMOK3","6","6","","","","","",""
"2083221","2013","AR","Arkansas","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","74.1","","","72.2","75.9","4096","Overall","Overall","_RFSMOK3","6","6","","","","","",""
"2086796","2013","CA","California","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","12.5","","","11.7","13.4","1223","Overall","Overall","_RFSMOK3","7","7","","","","","",""
"2086797","2013","CA","California","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","87.5","","","86.6","88.3","9399","Overall","Overall","_RFSMOK3","7","7","","","","","",""
"2090259","2013","CO","Colorado","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","17.7","","","16.7","18.6","1831","Overall","Overall","_RFSMOK3","8","8","","","","","",""
"2090260","2013","CO","Colorado","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","82.3","","","81.4","83.3","10943","Overall","Overall","_RFSMOK3","8","8","","","","","",""
"2094277","2013","CT","Connecticut","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","15.5","","","14.3","16.7","1058","Overall","Overall","_RFSMOK3","9","9","","","","","",""
"2094278","2013","CT","Connecticut","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","84.5","","","83.3","85.7","6421","Overall","Overall","_RFSMOK3","9","9","","","","","",""
"2098162","2013","DE","Delaware","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","19.6","","","17.9","21.2","842","Overall","Overall","_RFSMOK3","10","10","","","","","",""
"2098163","2013","DE","Delaware","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","80.5","","","78.8","82.1","4210","Overall","Overall","_RFSMOK3","10","10","","","","","",""
"2101832","2013","DC","District of Columbia","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","18.8","","","16.8","20.8","631","Overall","Overall","_RFSMOK3","11","11","","","","","",""
"2101833","2013","DC","District of Columbia","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","81.2","","","79.2","83.2","4071","Overall","Overall","_RFSMOK3","11","11","","","","","",""
"2106040","2013","FL","Florida","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","16.8","","","15.9","17.7","5384","Overall","Overall","_RFSMOK3","12","12","","","","","",""
