"Title: Infant Mortality Rate | The Henry J. Kaiser Family Foundation"
"Timeframe: 2016"
"Location","Infant Deaths"
"United States","5.87"
"Alabama","9.03"
"Alaska","5.17"
"Arizona","5.32"
"Arkansas","8.2"
"California","4.22"
"Colorado","4.76"
"Connecticut","4.78"
"Delaware","7.82"
"District of Columbia","7.2"
"Florida","6.14"
"Georgia","7.47"
"Hawaii","6.04"
"Idaho","5.83"
"Illinois","6.38"
"Indiana","7.39"
"Iowa","5.96"
"Kansas","5.99"
"Kentucky","6.78"
"Louisiana","7.98"
"Maine","5.75"
"Maryland","6.54"
"Massachusetts","3.94"
"Michigan","6.42"
"Minnesota","5.13"
"Mississippi","8.67"
"Missouri","6.59"
"Montana","5.78"
"Nebraska","6.06"
"Nevada","5.76"
"New Hampshire","3.67"
"New Jersey","4.03"
"New Mexico","6.16"
"New York","4.51"
"North Carolina","7.24"
"North Dakota","6.41"
"Ohio","7.43"
"Oklahoma","7.47"
"Oregon","4.7"
"Pennsylvania","6.15"
"Rhode Island","5.56"
"South Carolina","7.01"
"South Dakota","4.89"
"Tennessee","7.35"
"Texas","5.72"
"Utah","5.43"
"Vermont","3.47"
"Virginia","5.85"
"Washington","4.32"
"West Virginia","7.23"
"Wisconsin","6.3"
"Wyoming","5.01"

"Sources"
"United States Department of Health and Human Services (US DHHS), Centers of Disease Control and Prevention (CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics (DVS). Linked Birth / Infant Death Records 2007-2016, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program, on CDC WONDER On-line Database. Accessed at http://wonder.cdc.gov/lbd-current.html on November 18, 2018."

"Definitions"
"*Infants* are defined as children under one year of age."


