State,Household_Income
United States,"59,901"
Alabama,"47,175"
Alaska,"79,611"
Arizona,"55,378"
Arkansas,"45,362"
California,"67,448"
Colorado,"70,585"
Connecticut,"77,255"
Delaware,"61,216"
D.C.,"74,268"
Florida,"51,750"
Georgia,"53,809"
Hawaii,"68,379"
Idaho,"54,716"
Illinois,"64,032"
Indiana,"55,097"
Iowa,"64,500"
Kansas,"58,152"
Kentucky,"44,926"
Louisiana,"48,673"
Maine,"53,796"
Maryland,"78,002"
Massachusetts,"71,926"
Michigan,"57,450"
Minnesota,"72,847"
Mississippi,"42,435"
Missouri,"62,742"
Montana,"54,474"
Nebraska,"64,097"
Nevada,"55,123"
New Hampshire,"80,208"
New Jersey,"72,452"
New Mexico,"47,822"
New York,"61,480"
North Carolina,"53,840"
North Dakota,"60,854"
Ohio,"56,494"
Oklahoma,"49,897"
Oregon,"64,478"
Pennsylvania,"64,006"
Rhode Island,"59,038"
South Carolina,"49,137"
South Dakota,"58,364"
Tennessee,"50,165"
Texas,"59,856"
Utah,"70,227"
Vermont,"63,058"
Virginia,"65,169"
Washington,"71,271"
West Virginia,"45,389"
Wisconsin,"58,745"
Wyoming,"64,575"
