State,Household_Income
United States,"56,079"
Alabama,"44,679"
Alaska,"66,010"
Arizona,"54,635"
Arkansas,"43,101"
California,"62,113"
Colorado,"68,422"
Connecticut,"73,184"
Delaware,"56,381"
D.C.,"65,511"
Florida,"51,703"
Georgia,"51,220"
Hawaii,"66,303"
Idaho,"55,893"
Illinois,"61,755"
Indiana,"54,582"
Iowa,"59,227"
Kansas,"55,589"
Kentucky,"45,518"
Louisiana,"42,780"
Maine,"54,116"
Maryland,"70,464"
Massachusetts,"67,982"
Michigan,"52,691"
Minnesota,"65,762"
Mississippi,"44,106"
Missouri,"54,321"
Montana,"47,650"
Nebraska,"58,060"
Nevada,"48,985"
New Hampshire,"77,007"
New Jersey,"66,707"
New Mexico,"45,485"
New York,"58,135"
North Carolina,"44,493"
North Dakota,"57,104"
Ohio,"50,096"
Oklahoma,"47,266"
Oregon,"60,795"
Pennsylvania,"58,252"
Rhode Island,"62,420"
South Carolina,"47,236"
South Dakota,"58,793"
Tennessee,"45,887"
Texas,"57,254"
Utah,"67,986"
Vermont,"59,213"
Virginia,"73,010"
Washington,"64,897"
West Virginia,"43,449"
Wisconsin,"59,663"
Wyoming,"60,140"
