Location,Employer Only,Non-group Only,Medicaid and Private Insurance,Medicaid and Medicare,Medicaid Only,Medicare and Private Insurance,Medicare Only,Military,Uninsured,Total
United States,0.49,0.05,0.02,0.03,0.13,0.07,0.04,0.02,0.15,1
Alabama,0.47,0.05,0.01,0.04,0.13,0.08,0.05,0.02,0.14,1
Alaska,0.49,0.03,0.02,0.02,0.11,0.04,0.03,0.06,0.2,1
Arizona,0.42,0.05,0.02,0.03,0.16,0.08,0.05,0.02,0.17,1
Arkansas,0.42,0.05,0.02,0.04,0.15,0.08,0.06,0.02,0.17,1
California,0.46,0.06,0.01,0.03,0.15,0.05,0.04,0.01,0.18,1
Colorado,0.51,0.08,0.01,0.02,0.1,0.06,0.04,0.03,0.15,1
Connecticut,0.57,0.05,0.01,0.03,0.12,0.08,0.04,0.01,0.09,1
Delaware,0.53,0.04,0.02,0.03,0.15,0.09,0.05,0.01,0.09,1
District of Columbia,0.53,0.05,0.03,0.04,0.2,0.05,0.02,0.01,0.08,1
Florida,0.4,0.06,0.01,0.04,0.12,0.09,0.07,0.02,0.21,1
Georgia,0.47,0.05,0.01,0.03,0.12,0.06,0.04,0.03,0.2,1
Hawaii,0.56,0.04,0.02,0.03,0.1,0.08,0.04,0.06,0.07,1
Idaho,0.48,0.08,0.02,0.03,0.1,0.08,0.04,0.02,0.16,1
Illinois,0.53,0.05,0.01,0.02,0.14,0.07,0.04,0.01,0.13,1
Indiana,0.53,0.04,0.01,0.02,0.12,0.08,0.04,0.01,0.15,1
Iowa,0.56,0.06,0.02,0.03,0.1,0.09,0.04,0.01,0.09,1
Kansas,0.54,0.06,0.02,0.03,0.09,0.08,0.04,0.02,0.13,1
Kentucky,0.47,0.04,0.01,0.04,0.14,0.08,0.05,0.02,0.15,1
Louisiana,0.43,0.05,0.02,0.04,0.16,0.06,0.05,0.02,0.18,1
Maine,0.48,0.04,0.02,0.06,0.15,0.09,0.04,0.02,0.11,1
Maryland,0.58,0.05,0.01,0.02,0.11,0.07,0.03,0.02,0.1,1
Massachusetts,0.58,0.05,0.02,0.04,0.15,0.08,0.03,0.01,0.04,1
Michigan,0.5,0.04,0.02,0.03,0.14,0.1,0.03,0.01,0.12,1
Minnesota,0.58,0.07,0.02,0.02,0.11,0.08,0.03,0.01,0.09,1
Mississippi,0.41,0.05,0.02,0.05,0.17,0.06,0.05,0.02,0.18,1
Missouri,0.51,0.05,0.01,0.03,0.11,0.08,0.05,0.02,0.14,1
Montana,0.45,0.07,0.01,0.03,0.09,0.09,0.05,0.02,0.19,1
Nebraska,0.53,0.08,0.01,0.02,0.09,0.08,0.04,0.02,0.12,1
Nevada,0.49,0.04,0.02,0.02,0.08,0.06,0.05,0.02,0.22,1
New Hampshire,0.61,0.04,0.01,0.03,0.07,0.08,0.04,0.01,0.1,1
New Jersey,0.58,0.04,0.01,0.03,0.1,0.07,0.04,0,0.13,1
New Mexico,0.38,0.04,0.02,0.03,0.19,0.07,0.05,0.02,0.2,1
New York,0.51,0.04,0.02,0.04,0.17,0.07,0.04,0.01,0.12,1
North Carolina,0.45,0.06,0.01,0.03,0.13,0.08,0.05,0.03,0.16,1
North Dakota,0.54,0.11,0.02,0.02,0.07,0.1,0.03,0.02,0.1,1
Ohio,0.53,0.04,0.02,0.03,0.12,0.09,0.05,0.01,0.12,1
Oklahoma,0.45,0.04,0.01,0.03,0.13,0.08,0.05,0.02,0.19,1
Oregon,0.47,0.07,0.02,0.03,0.12,0.09,0.04,0.01,0.16,1
Pennsylvania,0.53,0.05,0.02,0.03,0.12,0.1,0.04,0.01,0.1,1
Rhode Island,0.54,0.04,0.03,0.04,0.11,0.08,0.04,0.01,0.11,1
South Carolina,0.45,0.04,0.01,0.03,0.13,0.08,0.05,0.03,0.17,1
South Dakota,0.5,0.09,0.02,0.03,0.09,0.09,0.05,0.02,0.12,1
Tennessee,0.46,0.05,0.02,0.04,0.14,0.08,0.05,0.02,0.15,1
Texas,0.45,0.04,0.01,0.03,0.14,0.05,0.04,0.02,0.23,1
Utah,0.58,0.06,0.02,0.02,0.08,0.05,0.03,0.01,0.15,1
Vermont,0.51,0.04,0.03,0.04,0.17,0.08,0.04,0.01,0.07,1
Virginia,0.55,0.05,0.01,0.02,0.08,0.08,0.04,0.05,0.13,1
Washington,0.5,0.06,0.02,0.03,0.11,0.08,0.04,0.03,0.14,1
West Virginia,0.46,0.02,0.02,0.04,0.14,0.1,0.06,0.01,0.15,1
Wisconsin,0.55,0.05,0.02,0.03,0.13,0.08,0.04,0.01,0.09,1
Wyoming,0.54,0.06,0.01,0.03,0.07,0.07,0.04,0.02,0.15,1
Puerto Rico,0.27,0.08,0.01,0.07,0.36,0.04,0.08,0.01,0.08,1
