"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"1919297","2011","US","All States, DC and Territories (median) **","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","21.2","","","","","53","Overall","Overall","_RFSMOK3","1","1","","","","","",""
"1919298","2011","US","All States, DC and Territories (median) **","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","78.8","","","","","53","Overall","Overall","_RFSMOK3","1","1","","","","","",""
"1919077","2011","UW","All States and DC (median) **","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","21.2","","","","","51","Overall","Overall","_RFSMOK3","2","2","","","","","",""
"1919078","2011","UW","All States and DC (median) **","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","78.8","","","","","51","Overall","Overall","_RFSMOK3","2","2","","","","","",""
"1775617","2011","AL","Alabama","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","24.3","","","22.9","25.8","1490","Overall","Overall","_RFSMOK3","3","3","","","","","",""
"1775618","2011","AL","Alabama","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","75.7","","","74.2","77.1","6170","Overall","Overall","_RFSMOK3","3","3","","","","","",""
"1779241","2011","AK","Alaska","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","22.9","","","20.9","25.0","743","Overall","Overall","_RFSMOK3","4","4","","","","","",""
"1779242","2011","AK","Alaska","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","77.1","","","75.0","79.1","2770","Overall","Overall","_RFSMOK3","4","4","","","","","",""
"1781813","2011","AZ","Arizona","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","19.3","","","17.2","21.3","1023","Overall","Overall","_RFSMOK3","5","5","","","","","",""
"1781814","2011","AZ","Arizona","Tobacco Use","Current Smoker Status","Adults who are current smokers (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","80.7","","","78.7","82.8","5412","Overall","Overall","_RFSMOK3","5","5","","","","","",""
