State,Household_Income
United States,"56,969"
Alabama,"44,888"
Alaska,"71,804"
Arizona,"52,294"
Arkansas,"47,695"
California,"64,221"
Colorado,"64,702"
Connecticut,"74,492"
Delaware,"61,073"
D.C.,"72,492"
Florida,"48,988"
Georgia,"52,614"
Hawaii,"75,619"
Idaho,"56,737"
Illinois,"58,306"
Indiana,"51,027"
Iowa,"61,379"
Kansas,"56,743"
Kentucky,"45,427"
Louisiana,"45,024"
Maine,"54,902"
Maryland,"80,867"
Massachusetts,"67,049"
Michigan,"55,215"
Minnesota,"71,395"
Mississippi,"37,714"
Missouri,"60,126"
Montana,"54,256"
Nebraska,"60,380"
Nevada,"52,954"
New Hampshire,"77,928"
New Jersey,"69,270"
New Mexico,"49,568"
New York,"57,662"
North Carolina,"49,672"
North Dakota,"64,479"
Ohio,"52,708"
Oklahoma,"50,113"
Oregon,"62,509"
Pennsylvania,"58,579"
Rhode Island,"62,252"
South Carolina,"47,702"
South Dakota,"56,328"
Tennessee,"46,415"
Texas,"57,201"
Utah,"67,296"
Vermont,"64,455"
Virginia,"70,239"
Washington,"62,714"
West Virginia,"41,993"
Wisconsin,"61,665"
Wyoming,"59,128"
